Polaridade,Tweets Limpos
neutro,Acordei falta danada 🤦🏾u200d♂️😓😳
negativo,coisa sempre ruim final falta jesus
negativo,falta mata
negativo,falta crlho
negativo,falta fudida
negativo,ando ultimamente ando passando fisicamente consigo dormir morrendo son… httpstcokGimYsO4MN
negativo,chorando agora deus falta CARALHO
negativo,Falta caralho
negativo,Falta caralho aguento pprt
negativo,Falta ainda cheiro cigarro
negativo,Falta lixo
negativo,Falta fudida
neutro,falta parou tentar dormir foda
negativo,Falta terrível
negativo,Falta terrível
neutro,hoje dormir sentada falta 🤦🏻u200d
negativo,saporra falta crlh agora consigo dormir
negativo,consigo dormir nada falta caralho
neutro,oivavelmente ninguém importa hospital sério sentindo falta httpstcoJGxQo9Crlt
negativo,ficando falta odio
negativo,morrendo sufocada falta caralho ódio
neutro,dores cabeça falta consigo dormir faço😣
neutro,peito insuportável ficando falta
negativo,falta caralho queria dormindo angústia U0001f97aU0001f97a
neutro,morrer falta possível
negativo,Caralho tosse satanás jeito nenhum dormi nessa porra
neutro,vontade enfia tosse
negativo,DomingoEspetacular assistindo Record apoiar absurdo especialistas dizendo festas clan httpstcoVDITswfEpn
negativo,fico irritada nojo alguem tosseespirra cobrir cara agora finalmente sinto frescaâ httpstcozPV6H53MbN
neutro,febretosse seca resfriadoninguÃm mereÃe«««
neutro,quero coÃar garganta sair tosse seca medo achar covid odio
negativo,tosse porra mÃscara parabÃns burrice
negativo,crianÃas chatas caralho gritando igual vagabunda outra tosse fudida deixando noia httpstcomLv3fv7jQA
neutro,tosse cachorro porra espero passe
positivo,esposa falta tosse seca cansaÃo ponto atendimento minhaâ httpstcolqFAP9DH4c
neutro,covid deixou tosse cachorro cara
negativo,Ainda nota alguma tosse pouco expectoraÃÃo nesta equipanMaldito covid19
negativo,tosse dando Ãdio
negativo,AGUENTO TOSSE CARAIO DEUS
positivo,tosse diminuindo felicidade roupa
negativo,tosse caralho
negativo,crise tosse agora deus horror
positivo,esclarecer mamÃe felizmente Covid19 gripezinha tosse httpstco6Yi1jgsbP4
neutro,saÃxad casa binder passar noite passando tosse realmente recomendo
negativo,sentada esperando mÃdico chamar sentou cara cadeira onde aviso grande pedindo httpstcoURzrcB7maP
negativo,tosse passa saco
neutro,tosse terrÃxadvel solta bebi pouco kkkkkk
negativo,Peguei treino 2hrs fiquei merda Falta pegando legal
neutro,asma negÃcio complicado passo todo pensando serase sentindo pouco falta mexi httpstcogG1B2ANIaY
neutro,zinho acelerado falta
positivo,NÃxadvel super baixo tava falta ansiedade graÃas Deus
neutro,falta tremendo
negativo,ruim comer falta
neutro,Acho foaqui galera falta monstra agora torcer crise ansiedade
negativo,falta ataca saco
negativo,febre falta matando
neutro,fico preocupada irmÃo obeso hipertenso agora covid lembrar fica faltaâ httpstcoFMApK8aaMQ
negativo,aguento falta
negativo,falta insuporvel xadxad
negativo,explodindo falta inferno quero morrer
negativo,Falta carai
negativo,falta inferno embora
negativo,puta falta odio parece morrer
neutro,tremendo chorando passando falta httpstcoihUFazyVpZ
negativo,falta desgraÃadaaa
neutro,falta motivo nenhum
neutro,falta cara
negativo,falta morrw
neutro,ultima brinquei repetindo tweets dois dias tava graus febre
negativo,Fico pensando shopping febre chatos
neutro,U0001f975 chega febre
negativo,velho febre foder
neutro,luíza nada ficou febre entendi nada U0001f97a
neutro,cheia febre aguento
positivo,calor achando sinal febre
neutro,nada febre
negativo,Pedro febre nada
positivo,relaxante febre tomar banho quentinho
negativo,febre falta matando
negativo,febre plmds
negativo,coisa sintomas leves covid ruim Cada passa fico pior corp… httpstcoSig4h6qRn2
negativo,FAMILIA FUFEBRE ALTAKKKKKKKKKKKKKK
neutro,Febre nada
positivo,Febre embora
positivo,Graças deus febre passo
negativo,Guilherme hambúrguer artesanal quero comer fome febre desgraçada
positivo,febre toda mole filha forças
negativo,corpo trabalhando matar ontem enjôo hoje febre
negativo,três amgs próximos tudo bebo beijando boca enquanto febre casa
negativo,febre abaixando sério MERDA OUTRAS VIDAS PAGANDO ASSIM
neutro,febre possível
negativo,odeio garganta prefiro febre
negativo,Odeio febre
positivo,passei semana inteira febre morrendo medo covid graças deus teste
negativo,Péssimo momento febre resfriado
neutro,queimando febre cheia estressando matando
neutro,Senhores hoje passei meio bateu febre garganta raspar menos ainda nnMedo COVID… httpstcoAzsS6rw0kd
neutro,sério passei febre deitada morrendo
neutro,cheia febre assim luau kkkkkkkkk
neutro,febre novo bençoado médico queria atestado hoje consigo falar httpstcoykvfcSikm4
negativo,febretosse seca resfriadoninguém mereçe😫😫😫
neutro,ficando febre
negativo,ficando febre U0001f974🤒
neutro,manhã Matteo acordado febre medicado invés dormir quer desenhonSó Deus
neutro,acordar febre
neutro,acordei febre
neutro,Bomdiou febre
negativo,Deus ajuda aguento fica febre
neutro,acordei febre falta
neutro,febre passa quero dormir 😩😩😩😩😩
neutro,podia acordado febre Passei noite inteira custava ganhar folga
neutro,fervendo febre escola fala
neutro,febre passando chorar
neutro,Kauã febre noite toda consigo neném assim
neutro,Deus vomitando puta febre medo real
neutro,consigo dormi ajudar ainda febre 🤦🏻u200d♀
neutro,dormi nadinha noite febre
neutro,queria tanto enrolar cobertor fizer febre piora
neutro,Segue febre última hora mediquei incomodado ainda acorda chorando U0001f97a
neutro,trabalhar disse nVontade deixar filha casa queimando febre
neutro,Tava febre acabei dormindo tava aguentando
neutro,cheia febre😩
neutro,febre serio medo
negativo,crlllll crise ansiedade madrugada tipo mano ansioso acho falta forte
negativo,falta deshtacada ansiedade morra
negativo,vontade vomitar tontura falta grande vezes parece desmaiar realmente httpstcoovYPJWzi5z
negativo,fico falta odeio odeio odeio
neutro,tanta dando falta
neutro,Acordei falta língua dormente coisa ruim
neutro,falta vontade vomitar
positivo,louco demais sentir falta poucos voltando rotina
negativo,Começou falta ar😭😭agora dormi
negativo,coração acelerado falta caralho
neutro,acordei febre falta
neutro,Falta pior coisa universo
neutro,Morrendo falta máscara
neutro,falta
negativo,aguento falta MORRER
negativo,porra odeio acordo nada falta maneU0001f92f
neutro,Preciso médico falta foda🤦🏻u200d
neutro,falta porra
neutro,sempre hora dormir falta ódio
neutro,Tavo dormindo nada veio falta
neutro,falta socorro
neutro,pouco falta ainda usar máscara manhã todannputmerd
neutro,falta caralho
neutro,falta Deus
neutro,preocupada falta
neutro,toda hora acordando assustada porra muita falta 🤦🏽u200d👎🏽
neutro,Todo consigo dormir causa insônia falta crlh
neutro,falta 💔💔💔😭
neutro,vsfd falta
negativo,Juninho fica forÃando tosse bota cair germes nojento U0001f92c
neutro,momento tudo contra tosse principalmente cara tirando mÃscara farmÃciâ httpstcoCxEWXlmOGt
negativo,aguento tosse
neutro,dormi nada acordei horas manhÃ tanta tosse
negativo,aguento tosse seca
negativo,odeio ficar tosse resfriado quebra
neutro,tosse caralho aguento
neutro,olhar cama ataque tosse
neutro,sempre dormir comeÃa tosse chatice
negativo,Tosse desgraÃada
negativo,tosse insuporvel acho morrer
negativo,tosse escrota
negativo,consigo dormir tosse desgraÃada
neutro,aguento tosse
neutro,Porra aguento tosse
neutro,passando tosse inferno
negativo,toda alguÃm fala pandemia nervoso falta socorro acaba pÃnico
neutro,Toda fico nervosa falta ODEIO
neutro,gebte socorro puta falta conseguindo respirar direito faÃo
neutro,tambem falta febre acho tudo medo real dkdmkdmnd
neutro,comeÃar tomar remÃdio acabar morrendo Hoje percebi quanto desesperador sentir httpstcoiv9191LGAy
neutro,falta novo saco
negativo,Falta fudida matar homem
neutro,AGUENTO FALTA
neutro,falta deus
neutro,falta foda
negativo,Poha sinto falta correr esquina merda deus caralho
neutro,chorei falta alergias param coÃar consigo dormir morrendo sono ANSIEDADE ODEIOOOO
neutro,Tento todos jeitos dormir fica dando teno crlh falta
neutro,Caralho falta grande tava quase vendo
negativo,manhÃ falta explodindo pedra cruz fala
negativo,odeio queimaÃÃo sinto perto peito deixa falta U0001f97a
neutro,falta vomorre
neutro,falta quero preocupar
neutro,foda achar posiÃÃo dormir falta
neutro,falta
neutro,novo falta aguento irmÃo
neutro,dando falta morre
neutro,falta krlh
neutro,odeio sentir falta porraaaaaaaaa
neutro,Acordar falta assustador recomendo
neutro,falta foda dormir
neutro,falta
neutro,foda dormir falta crlh U0001f97a
neutro,crise ansiedade merda fiquei febre
neutro,pouco febre baixa desde cheguei Bernardo amanhÃ denovo kkkkkkk
neutro,Acordar febre novo difÃxadcil
neutro,Bryan tosse chata😣 Bryan tosse chata😣
neutro,Acordei febre garganta inflamada entendi nada agora
neutro,meninas aqui casa morrendo tosse febre pegar corona outra nessa altura campeonato ficar PUTA
neutro,dormi doente acordei imersa poÃa suornnfui medir febre tamo
neutro,febre mandando real
neutro,febre gostou mimpqpx8f¼u200¸x8f
neutro,Fico nunca febre garganta U0001f972
negativo,ruim ficar febre fraqueza tudo
neutro,corpo inteiro voltou doer agora febre espero demore passar
neutro,acordou doente febrenmanonDeus pedi algo antes favor perdoe salva nessa
neutro,Noite inteirinha febre capeta ruim caramba
neutro,febre deuss
positivo,Primeiro vencido sucessonnEnjoo corpo febre 38nnAcordei febre pouco enjoonnvouvencer
neutro,Ryan madrugada inteira Febre paaai
neutro,Sinto adoecendo febre aÃxad pensando alguÃm daqui mole mercado pode covid
neutro,passando cheio febre
neutro,Acordei febre Ãdio ontem estar planÃxadssimo tava febre Ãdio
neutro,queimando febre nada
neutro,colocando isolamento causa febre ontem kkkk
neutro,Passei madrugada inteira acordada yuri febre tadinho nenÃm
neutro,acordou febre U0001f974
neutro,preocupada felipe onde mandar mensm manhÃ dizendo febre responder Ãdio
neutro,aguento acorda febre fudida moral
neutro,Febre abaixa jeito nenhum Deus
neutro,Febre fraqueza dores corpo covid novo
neutro,Acordei queimando febre repreendido
neutro,desgraÃa pegam doenÃa menos gravenLeve febre leve leve tossenA grave gado imbecÃxadl
neutro,febre aumentando Deus
neutro,aqui dando remÃdio Juliane febre kkkkkkkkkkkkkkkkkkk
neutro,Muita falta
negativo,nada pior sentir falta moral
negativo,Desde madrugada mente inquieta falta fÃcil
neutro,reportagem sobre particilas virais estarem Amostras conposiÃao httpstcoNm8E3me2yt
negativo,0510 falta febre tmnc
negativo,falta nada
negativo,Ãdeio sentir falta
negativo,âacordei falta arâx9d plmdds httpstco2cqy20XakX
negativo,Acordei mesma falta pÃnico instalado sobre forÃava respiraÃÃo sentia encherâ httpstcoPSkDTp7Fiq
neutro,acordos falta esperanÃa crise bronquite
negativo,Caraca Noite Foda Dormi Falta
positivo,caras consegui dormir sentir falta enfim felicidade
negativo,ardor acaba temho tempo sufoca deixa falta
negativo,aguento todo ficar falta inferno
negativo,falta desgraÃada
negativo,Falta caralho
negativo,falta
negativo,Falta terrÃxadvel
negativo,falta tomarÃ
neutro,acordando falta arnnA vida morango kkkkkkkk
neutro,comecei nova rotina romper home office sair trabalhar companheira apresentandoâ httpstcoR9QElHhqIg
negativo,peguei olhando teto escuro chorando soluÃar falta
negativo,Deus pior noite vida paro tossir muita falta
neutro,Porra falta
negativo,parece morrer falta
negativo,falta caralho
neutro,falta deus
neutro,rapaz falta acordei
negativo,Sabe sensaÃÃo desespero falta apetite sentindo tristeza funda vontade desistir tudo falta httpstcotXTRbkQK4k
positivo,segundo acordando falta palpitaÃÃo OBRIGADA VIDA MENOS INSALUBRE
positivo,Segundo sinto acelerado momentos entendendo motivo sair casaâ httpstcojoeCN5yO2G
negativo,falta merda
neutro,morrendo falta jesus
positivo,Virias maqueei senti bonita falta respirar passaram finalmente remÃdioâ httpstcoz4s0OKBtZy
neutro,Ontem febre baixa voltou hoje Tosse coriza pouco estarnnDevo preocupar
neutro,falta atenÃÃo primÃria funcione fato Deus todo classificaÃÃo lota tosse corâ httpstcoRozYEpPCIy
negativo,mano coisa falar sabe gente sofre disso aqui apaga temâ httpstcom7oLO9hEkT
negativo,aguento tosse alergia rinite
neutro,sala espera fazer exame Cada tosse alguÃm aqui arrepiozinho
positivo,seguimores vocÃs esonnEu Ãtimo Acordei melhor tosse httpstcomLplSQjEc0
negativo,tosse caralho
negativo,crise tosse
neutro,Morrendo tosse corisa torcendo covidn
negativo,IrmÃo garganta cada tosse gosto catarro diferente
negativo,caixÃo fechado caver respira tosse explicaÃÃo intenÃÃo cauâ httpstcoIFIU2EYI9M
negativo,Gente tosse infernos
neutro,acordei tossindo hoje medo mesma pois tosse bonita
negativo,Acordei tosse maldita
negativo,desgraÃa pegam doenÃa menos gravenLeve febre leve leve tossenA grave gado imbecÃxadl
negativo,Tosse nunca Ãdio
neutro,aguento tosse Heitor cada tosse dormindo faÃo massagem peitinho alma U0001f97aU0001f97aU0001f97a
negativo,tosse cara
negativo,Odeio fica tosse
negativo,Gente aguento tosse
negativo,tosse chata fude
neutro,tosse cronica meses ontem fiquei doente agora tava tosse agora voltou forte SOCORRO
negativo,moss tosse inferno parece pulmÃo explodir
neutro,saga tosse isis Jesus
negativo,tosse respirar tontura sofrimentp
neutro,preocupada tosse covid tosse velho KKKKKK
neutro,descobrir hoje fuleiro mÃdico raiox pegar hoje descobrir pulmÃoâ httpstco3eosnUmhiY
negativo,tosse passa deus
neutro,cada tosse aperto maior senhorrrrr
negativo,Namoral muita gente irresponvel Maior tosse tuberculoso cara mÃscara
neutro,madrugada comeÃou atacar crise tosse cachorro medo tossir busao povo bater x8fu200¸x8f
positivo,melhor tosse pouca Obrigada U0001f970
negativo,VÃrios outros Tosse seca cansaÃo infinito enxaqueca pior vida passavâ httpstcoRnzwGHG5hG
neutro,Kayke crises tosse completar tiros esquisitos Jesus
neutro,Agatha tosse pulo cama morro medo engasgar
negativo,Cheio Ãdio tentando dormir ontem consegui direito tosse seca comeÃou atacar aÃxad ainâ httpstcon0RFahSd5T
neutro,chega horas porra tosse ataca
negativo,tosse irritante
neutro,consigo dormir tanta tosse brother
neutro,cansada tosse
neutro,Porque chega madrugada tosse sempre piora levantar fazer nescauzinnn quente alivia porra
negativo,tosse dando bichoooo NUNCA
negativo,aguento tosse
negativo,nariz entupido tosse desestabiliza durmo noite toda checando tudo
positivo,esfria forma opÃÃµesnNariz entupido espirros rinitenDor sinusitenTohttpstcoFYEWtm9qnG
negativo,crise tosse hora puro odio
negativo,tosse seca porra Manucu
negativo,tosse peito costas Pior consigo dormir
negativo,tosse chata
negativo,penso melhorando tosse novoxad
negativo,hora dormir hora tosse chata ataca nunca saco
negativo,pior gtgt sentir gosto gtgt sentir cheiro gtgt corpo gtgt falta gtgt gtgt tosse peito
neutro,quero dormir tosse deixa Ãdio
neutro,Tosse sangue difÃxadcil
neutro,suspeita covid toda hora tosse Deus
neutro,bolao tosse
negativo,aqui conseguir dormir causa tosse falta alguÃm fala covid parar
negativo,Ãdio tosse
negativo,tosse conseguindo dormir x8fu200‚¸x8f
negativo,tosse maldita
negativo,Tosse caralho passa nunk
neutro,Kkkkkkkkkk sempre tomo parece ficar febre
neutro,sentindo febre primeira loucura
negativo,acordei febre sacanagem
negativo,acordei febre crlo tambÃm nneeeeeeeeeee
neutro,Caralho febre Arriada
neutro,Dormi nada noite nior cheio febre fico preocupada U0001f97aU0001f97a
negativo,Hoje trabalho causa fudida febre tambÃm inflamaÃÃo garganta
neutro,Isis queimando febre
neutro,dormiu melhor graÃas Deus compensaÃÃo Hellena febre noite toda achando tirâ httpstcoDiRhO3uNPc
negativo,Mano vtnc poderia estar vendo aula presencial porra febre atacar Ãpoca aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
neutro,amiga bebÃ meses hospital desde segunda febre vomitando quero pensar nada agora
negativo,ontem tava queimando febre antes dormir hoje garganta amanheceu fudida â¨U0001f974
negativo,FRIO INSUPORx81VEL febre merda
negativo,TrÃs dias praticamente cama passando febre pescoÃo Deus ajude
positivo,noxadcia minoria vacinados caso sentirÃ febreou locâ httpstconcoANhWO0D
negativo,morrer tossindo tripas posxadvel terceiro seguido tosse maldita
negativo,Cheio Ãdio tentando dormir ontem consegui direito tosse seca comeÃou atacar aÃxad ainâ httpstcon0RFahSd5T
negativo,aguento tanta tosse
negativo,aguento tosse
negativo,chega horas porra tosse ataca
negativo,tosse irritante
negativo,consigo dormir tanta tosse brother
negativo,cansada tosse
negativo,Porque chega madrugada tosse sempre piora levantar fazer nescauzinnn quente alivia porra
negativo,aguento tosse
negativo,crise tosse hora puro odio
negativo,tosse seca porra Manucu
negativo,tosse peito costas Pior consigo dormir
negativo,tosse chata
negativo,consigo dormir tosse insuporvel nariz entupido
negativo,Tosse feiosa carai
negativo,hora dormir hora tosse chata ataca nunca saco
negativo,quero dormir tosse deixa Ãdio
negativo,Ãdio tosse
negativo,tosse maldita
negativo,Tosse caralho passa nunk
neutro,Ardendo febre
negativo,febre indo voltando foda
negativo,ouvido infeccionado ouvido fechado febre Ãnsia vÃmito nnblz quer matar mata deixa sofrendo aqui
neutro,Murilo pelando febre aiiiixad
negativo,garganta fudida febre alta caralho sextouuu
neutro,corta chorando tava febre longe
negativo,corpo febre crlh foda xadx8f¿u200‚¸x8f
neutro,ardendo febre novo aguento
neutro,CONSULTA VOLTEI DOENTE FEBRE PAIXÃO PORRA
neutro,Laisa enjoada normal febre U0001f97aU0001f97a
negativo,Coronga acabando comigo AlÃm sentir gosto cheiro alimentos ainda tirando apetite httpstcoo462iDu9oY
neutro,irmÃo super quente febre enrolado cobertor super grosso calor graus
negativo,amigo diarreia febre vida covid Ãgua janeiro simplesmente MERDA NOVO
negativo,febre foda completar ouvido doendo caralho
negativo,Homi bicho frouxo demais nMeu qualquer dorzinha MORRENDO VENDO RUIM nCom httpstcou6tpTrcsiz
neutro,pretinha febre ””x90
positivo,tambem falta febre acho tudo medo real dkdmkdmnd
neutro,Serio febre novo
positivo,sextou vida acordou febre x8f¼
negativo,febre fodida passando caralho credo
neutro,febre nada doideira
neutro,sentindo falta
negativo,fica falta antinha
negativo,vrdd toda comeÃo pensar futuro fudido comeÃo falta fico triste
negativo,toda alguÃm fala pandemia nervoso falta socorro acaba pÃnico
neutro,agora fico triste falta nada
neutro,tambem falta febre acho tudo medo real dkdmkdmnd
negativo,falta
positivo,Voltei casa vovÃ domingo ficar desde sentiu falta nenhuma U0001f97ax8f
neutro,gebte socorro puta falta conseguindo respirar direito faÃo
negativo,comeÃar tomar remÃdio acabar morrendo Hoje percebi quanto desesperador sentir httpstcoiv9191LGAy
negativo,Nnsei pior peito falta conseguir dormir U0001f97a ansiedade realmente destrÃi
negativo,falta novo saco
negativo,Falta fudida matar homem
neutro,aguento falta
negativo,aguento surtar chorar tremer falta esperar ajuda divina cair
negativo,falta deus
negativo,Poha sinto falta correr esquina merda deus caralho
negativo,falta veio cloro desgraÃa
negativo,indo trabalho todo palpitaÃÃo falta ansiedade httpstcozTLKckyOpI
negativo,Nnsei pior peito falta conseguir dormir U0001f97a ansiedade realmente destrÃi
negativo,agora fico triste falta nada
negativo,falta
negativo,Sentindo peitouma falta sinistra
negativo,gebte socorro puta falta conseguindo respirar direito faÃo
negativo,comeÃar tomar remÃdio acabar morrendo Hoje percebi quanto desesperador sentir httpstcoiv9191LGAy
negativo,falta novo saco
negativo,Poha sinto falta correr esquina merda deus caralho
negativo,fase passo madrugadas falta perdida pensamentos escolhas devâ httpstcoWLzhq0S4YH
negativo,nada crise ansiedade pensei morrer falta
negativo,dormir melhor tava acordei falta triste vida asmÃtica gripa x8fu200¸x8f
negativo,chorei falta alergias param coÃar consigo dormir morrendo sono ANSIEDADE ODEIOOOO
neutro,crise alÃrgica puta falta pega corona crise morro
negativo,falta foda dormi
negativo,manhÃ falta explodindo pedra cruz fala
negativo,Acordar falta assustador recomendo
neutro,Caralho falta grande tava quase vendo
negativo,munta falta x8fu200¸x8f
neutro,pulo corpo inteiro formigando morrendo falta KKKKKKKKKK cada frescura
neutro,digo fiquei falta nnTodo mundo COMENDO DIREITO
negativo,muita falta Nessas horas vejo quanto ruim poder socorro
negativo,odeio sentir falta porraaaaaaaaa
negativo,falta
negativo,falta vomorre
negativo,falta krlh
negativo,Falta dormir foda x8fu200¸x8f
negativo,novo falta aguento irmÃo
negativo,quase surtando falta doendo peito jogando mano surta
negativo,falta
negativo,falta manhÃ
negativo,foda dormir falta crlh U0001f97a
negativo,dando falta morre
neutro,Falar agir febre Fala
neutro,remÃdio kkkkk remÃdios gripe febre derrubavam sdds
negativo,aÃxad ainda dormi bebinha sono cheia febre foda
neutro,Acordei assustada testa vendo febrenEle deve fazer semanâ httpstcoIjZmNQGFxI
neutro,Acordei febre angustiada hoje aniverrio quero perfeito
negativo,Acordei febre ficar longe fico rÃpido U0001f97a
neutro,legal acordar febre
neutro,Espero febre hoje porque quero voltar hospital
negativo,acredito febre mano
negativo,gente ficar indignada preciso atendimento febre noite toda quisemos ocuparâ httpstcoT71ggDYY0i
negativo,puta febre saco
negativo,queimando febre morrer
neutro,Manu Dando Febre Novo u200¸x8f
neutro,todo mundo gripado febre diabo
neutro,febre JoÃo passa
negativo,IVERMECTINA CURA COVID PAREM MATARnontem falta tosse febre muita corpoâ httpstco9wkGxbJ78l
negativo,acordando febre garganta ruim fude
negativo,acorda febre x8fu200‚¸x8f
neutro,pedido hoje febre Samuel passe todinha suporto assim
negativo,sentindo frio botei termÃmetro âfebreâx9d comeÃando preocupa
positivo,coisa tambÃm febre passou tomara volte tava medo
negativo,vsfd odeio acordar febre
neutro,cansaxadssima falta olha hora ainda dormi
neutro,nada disparado tremendo toda morrendo falta vontade vomitar noite
negativo,Hospital medir saturaÃÃo tudo mente falta
negativo,HOJE CRISE ANSIEDADE FUDIDA LITERALMENTE BATI PAREDE PODE LUXOâ httpstcoYwsAZeoa27
neutro,desparrou tanto falta
negativo,tanta raiva passando tremedeira falta desgraÃa
negativo,Acordei olhos cheios lÃgrimas falta caralho Ãdio
negativo,comecei falta nadatmnc
negativo,Falta porra
neutro,falta nada
negativo,falta hora vtnc
negativo,sentir falta U0001f97a
neutro,conseguindo dormir maneira nenhuma falta mereÃo plantei
neutro,momento achei hoje morrer falta
negativo,puta pariu falta caralho
neutro,falta normal
negativo,quase morri falta hoje aiai covid obrigada sequelas
neutro,queria dormir falta deixa
negativo,chorandon falta desgraÃa deus
negativo,toda fico falta puta pariu
negativo,falta valeu Enel mimo
neutro,Aqui lembrando surto COVID parte famÃxadlia Pernambuco chocou priâ httpstco8KZmEMH2Yq
negativo,ignorante quer faÃa segure tosse exploda
negativo,deitar comeÃa tosse maldita
negativo,Ajunta innia miserÃvel tosse durmo jeito nenhum Ãdio
neutro,benalet salva garganta acaba tosse implorando POSSO ficar doente
negativo,caralho queria tosse embora deus perturbaÃÃo
negativo,garganta Deus doer junta tosse cachorro ninguÃm merece U0001f97aU0001f97aU0001f97aU0001f97a
neutro,difÃxadcil povo ruim todos sintomas covid covid âuma gripe forteâx9d diarreia httpstcormoivvrn5b
positivo,noite Bernardo quer tosse dormiu super tranquilonGraÃas Deus
negativo,tosse atrapalhando soninho
negativo,tosse acabando sentindo sendo afogada ventilador tava parado comeÃouâ httpstcoEheOBp7aGj
negativo,tosse assustando medo piripaque
negativo,tosse caralhooo Ãdio aguento
neutro,achando bizarrroooo monte conhecido amigas familiares ZUADOS todos sintomas covid httpstcoBEn5Ov4nE3
neutro,prima falando coronÃria enquanto tosse kkkk
negativo,ODIO COMEÃO CRISE TOSSE NADA
negativo,tosse insuporvel difÃxadcil dormir assim
neutro,sempre horas tosse ataca incrÃxadvel
negativo,aqui filho colo porque tosse chata deixa dormir
negativo,tosse chata
negativo,Tosse chata porra
negativo,tosse chata
negativo,tosse custa crln consigo dormir
negativo,dormi chorando acordei raiva febre raiva
neutro,queria emocional atingisse corpo acabasse vontade comer sabe Seriaâ httpstcoxmVTElxbr8
neutro,porra braÃo dando febre
neutro,chorando agora febre U0001f97a fazer mandei fica calma
neutro,garganta febre sofro
neutro,porra febre
negativo,acordei bastante febre acreditando
neutro,cheguei escola tava febre
neutro,sair deixar bebÃ febre
negativo,novo febre aguento insistir amanhÃ noite
negativo,passar noite garganta febre ainda acordo consigo toma Ãgua beleza
positivo,desse lovizinho gostoso febre embora
neutro,nada manhÃ acordo morrendo corpo febre U0001f97a
negativo,febre caralho
negativo,fico puto termÃmetro medir febre
negativo,odeio febre intestino nenhum sintoma ficar boca fica umaâ httpstcooDr5OrgsaU
negativo,pirar filho queimando febre xadxadxadxadxad
negativo,febre noite estralando acorda trampa ouvir graca cedo toma
negativo,febre filha putaaaaaaaaaaaaaaaaaa
negativo,acordo corpo parecendo passou caminhÃo febre acompanha nBom
negativo,Lohan meses primeira nenÃm febre cabisbaixo pedaÃos
neutro,fiquei meses botar casa cheguei escola apontando coisa febre braco httpstcosGgIsqLoSR
neutro,febre madrugada parar queria ficar desse jeito U0001f97a
neutro,falando febre queimou neurÃnios errei portuguÃs hora dessas escreve certo auge sono kkkk
neutro,dormi nada noite ardendo febre liga
neutro,saco suando devia febre
negativo,febre vontade chorar odeio ficar doente
negativo,zuado passei folga inteira cima cama queimando febrenn comi todo tambÃmnnq Ãdio
negativo,cheio febre merda
neutro,amiga anos VINTE SEIS Covid falta febre corpo todo U0001f97a httpstco32OD8j9RDK
neutro,irmÃ acordou tomar remÃdio febre vomitando remÃdio
negativo,caralho mano vizinho manca TODO cedo fica corredor tosse fudida coloca mÃscarax8fu200¸x8f
neutro,levar amor emergÃncia hoje gripado asma passou noite toda cansaÃo nariz super httpstco2tyvydB7OQ
neutro,VocÃ tosse dopada coma hahahaha
neutro,horas comeÃa crise tosse dentro trem kkkkk povo jaja linchar daqui kkkk
neutro,ataco tosse consegui dormir direito desgraÃa
negativo,aguento tanta tosse falta
negativo,tosse arrombada dxou dormir noite toda
negativo,fiquei semana presencial morrendo falta binder
negativo,mano difÃxadciltava falta pÃnico chorando travado tipo braÃo relaÃwoâ httpstcop5cH9E1onH
negativo,consegui comer conseguindo dormir falta crise choro outras coisasnVai ansiedade come
negativo,ansioso Mano acordado desde manhÃ cÃrebro acho atrasadoâ httpstcoZ0YHoGzyjC
neutro,NenÃm deixa mamÃe mimi kkkkk muita falta
negativo,falta peito juntinho aguento
negativo,falta desgracada morre
negativo,Acordei falta
negativo,Acordei muita falta odeio
neutro,acordei falta fodida deus
negativo,vazioaquele sentimento culpaaquela falta aperto sozinhoacho perdi caos
negativo,caralho falta
negativo,falta acaba U0001f97a
negativo,falta insuporvel sentindo deixou dormir hora praticamente choraâ httpstcouyjFOzLeg3
negativo,falta irrita
negativo,krlh falta acabar matando
negativo,Falta caralho
negativo,falta caramba
negativo,cozinha beber remedio quase morri odio falta
negativo,indo tentar dormir 0420 manhÃ pouco falta deixando nervoso nenÃm precisando ajuda
negativo,consigo dormir muita falta
neutro,passando falta caralho
negativo,aguento tanta tosse falta
negativo,dormi ainda cara parece enfiando vÃrios cacos vidro corpo falta furiosa
negativo,dormi nada puta falta
neutro,cama consigo dormir consigo acordo assustada comigo falta U0001f97aU0001f97a
neutro,acordo humor theo acordar sendo cedo fico falta
negativo,puta falta tomara morra
negativo,falta carakho
neutro,falta sentindo puta pariuuu
neutro,creio febre
negativo,Lembra fiquei pior febre mano diarrÃia caralho
neutro,caceta acho febre
neutro,ardendo febre deus
neutro,Cara febre baixaaa
neutro,caralho tomar remÃdio febre suar tanto
positivo,febre valeu pena vamo
neutro,Mufina febre olhos” acreditando
negativo,azarado febre
negativo,falta commisso dessas sonsas realidade comparÃveâ httpstcou7foCDeXA6
negativo,cheio argumentos principal pessoas enviadas casa terem falta Voce httpstco7l0dHhNmqe
neutro,consigo chorar aperto peito falta
negativo,ansiedade matar falta manoo vida fode assim
negativo,tempo consigo dormi desconfio todos peito falta sensaÃÃo
positivo,adianta explicar quer ouvir tomei tomo quase vÃrias pessoas ficaâ httpstcopLcE9fNx4v
neutro,acho falta parece coraÃao preso caixa explicar deus
negativo,Aiii falta ar’essa porra
