Paul Ekman,Tweets Limpos
raiva,assassinos CLOROQUINA mata mata ficar esperando Vírus comunista” tomar cont… httpstcov9ib97M3HR
nojo,Vindo ministro matou várias pessoas Fiquem casa curem hospitais… httpstcooF2ZCZ8YQi
raiva,Alergia atacada falta chata U0001f92fU0001f92f
tristeza,Queria infelizmente acordei falta 🤦🏾u200d♂️
tristeza,POSIÇÃO DEITARRRRR TUDO FALTA
raiva,acordei cheia falta ódio
surpresa,Acordei falta danada 🤦🏾u200d♂️😓😳
tristeza,coisa sempre ruim final falta jesus
tristeza,falta mata
raiva,falta crlho
raiva,falta fudida
tristeza,ando ultimamente ando passando fisicamente consigo dormir morrendo son… httpstcokGimYsO4MN
raiva,chorando agora deus falta CARALHO
raiva,Falta caralho
raiva,Falta caralho aguento pprt
raiva,Falta ainda cheiro cigarro
raiva,Falta lixo
raiva,Falta fudida
tristeza,falta parou tentar dormir foda
tristeza,Falta terrível
tristeza,Falta terrível
tristeza,hoje dormir sentada falta 🤦🏻u200d
raiva,saporra falta crlh agora consigo dormir
raiva,consigo dormir nada falta caralho
tristeza,oivavelmente ninguém importa hospital sério sentindo falta httpstcoJGxQo9Crlt
raiva,ficando falta odio
raiva,morrendo sufocada falta caralho ódio
tristeza,dores cabeça falta consigo dormir faço😣
medo,peito insuportável ficando falta
tristeza,falta caralho queria dormindo angústia U0001f97aU0001f97a
tristeza,morrer falta possível
raiva,Caralho tosse satanás jeito nenhum dormi nessa porra
raiva,vontade enfia tosse
raiva,DomingoEspetacular assistindo Record apoiar absurdo especialistas dizendo festas clan httpstcoVDITswfEpn
nojo,fico irritada nojo alguem tosseespirra cobrir cara agora finalmente sinto frescaâ httpstcozPV6H53MbN
tristeza,febretosse seca resfriadoninguÃm mereÃe«««
felicidade,quero coÃar garganta sair tosse seca medo achar covid odio
raiva,tosse porra mÃscara parabÃns burrice
raiva,crianÃas chatas caralho gritando igual vagabunda outra tosse fudida deixando noia httpstcomLv3fv7jQA
medo,tosse cachorro porra espero passe
felicidade,esposa falta tosse seca cansaÃo ponto atendimento minhaâ httpstcolqFAP9DH4c
tristeza,covid deixou tosse cachorro cara
raiva,Ainda nota alguma tosse pouco expectoraÃÃo nesta equipanMaldito covid19
raiva,tosse dando Ãdio
raiva,AGUENTO TOSSE CARAIO DEUS
felicidade,tosse diminuindo felicidade roupa
raiva,tosse caralho
tristeza,crise tosse agora deus horror
felicidade,esclarecer mamÃe felizmente Covid19 gripezinha tosse httpstco6Yi1jgsbP4
tristeza,saÃxad casa binder passar noite passando tosse realmente recomendo
raiva,sentada esperando mÃdico chamar sentou cara cadeira onde aviso grande pedindo httpstcoURzrcB7maP
raiva,tosse passa saco
felicidade,tosse terrÃxadvel solta bebi pouco kkkkkk
tristeza,Peguei treino 2hrs fiquei merda Falta pegando legal
medo,asma negÃcio complicado passo todo pensando serase sentindo pouco falta mexi httpstcogG1B2ANIaY
medo,zinho acelerado falta
felicidade,NÃxadvel super baixo tava falta ansiedade graÃas Deus
medo,falta tremendo
tristeza,ruim comer falta
medo,Acho foaqui galera falta monstra agora torcer crise ansiedade
raiva,falta ataca saco
tristeza,febre falta matando
medo,fico preocupada irmÃo obeso hipertenso agora covid lembrar fica faltaâ httpstcoFMApK8aaMQ
tristeza,aguento falta
raiva,falta insuporvel xadxad
raiva,explodindo falta inferno quero morrer
raiva,Falta carai
raiva,falta inferno embora
raiva,puta falta odio parece morrer
tristeza,tremendo chorando passando falta httpstcoihUFazyVpZ
raiva,falta desgraÃadaaa
surpresa,falta motivo nenhum
tristeza,falta cara
tristeza,falta morrw
felicidade,ultima brinquei repetindo tweets dois dias tava graus febre
raiva,Fico pensando shopping febre chatos
tristeza,U0001f975 chega febre
raiva,velho febre foder
tristeza,luíza nada ficou febre entendi nada U0001f97a
tristeza,cheia febre aguento
felicidade,calor achando sinal febre
raiva,nada febre
tristeza,Pedro febre nada
felicidade,relaxante febre tomar banho quentinho
tristeza,febre falta matando
tristeza,febre plmds
tristeza,coisa sintomas leves covid ruim Cada passa fico pior corp… httpstcoSig4h6qRn2
felicidade,FAMILIA FUFEBRE ALTAKKKKKKKKKKKKKK
surpresa,Febre nada
felicidade,Febre embora
felicidade,Graças deus febre passo
tristeza,Guilherme hambúrguer artesanal quero comer fome febre desgraçada
felicidade,febre toda mole filha forças
tristeza,corpo trabalhando matar ontem enjôo hoje febre
tristeza,três amgs próximos tudo bebo beijando boca enquanto febre casa
raiva,febre abaixando sério MERDA OUTRAS VIDAS PAGANDO ASSIM
tristeza,febre possível
raiva,odeio garganta prefiro febre
raiva,Odeio febre
felicidade,passei semana inteira febre morrendo medo covid graças deus teste
tristeza,Péssimo momento febre resfriado
raiva,queimando febre cheia estressando matando
medo,Senhores hoje passei meio bateu febre garganta raspar menos ainda nnMedo COVID… httpstcoAzsS6rw0kd
medo,sério passei febre deitada morrendo
felicidade,cheia febre assim luau kkkkkkkkk
tristeza,febre novo bençoado médico queria atestado hoje consigo falar httpstcoykvfcSikm4
tristeza,febretosse seca resfriadoninguém mereçe😫😫😫
surpresa,ficando febre
tristeza,ficando febre U0001f974🤒
raiva,manhã Matteo acordado febre medicado invés dormir quer desenhonSó Deus
tristeza,acordar febre
tristeza,acordei febre
tristeza,Bomdiou febre
tristeza,Deus ajuda aguento fica febre
tristeza,acordei febre falta
tristeza,febre passa quero dormir 😩😩😩😩😩
tristeza,podia acordado febre Passei noite inteira custava ganhar folga
tristeza,fervendo febre escola fala
tristeza,febre passando chorar
tristeza,Kauã febre noite toda consigo neném assim
medo,Deus vomitando puta febre medo real
tristeza,consigo dormi ajudar ainda febre 🤦🏻u200d♀
tristeza,dormi nadinha noite febre
tristeza,queria tanto enrolar cobertor fizer febre piora
tristeza,Segue febre última hora mediquei incomodado ainda acorda chorando U0001f97a
tristeza,trabalhar disse nVontade deixar filha casa queimando febre
tristeza,Tava febre acabei dormindo tava aguentando
tristeza,cheia febre😩
medo,febre serio medo
raiva,crlllll crise ansiedade madrugada tipo mano ansioso acho falta forte
raiva,falta deshtacada ansiedade morra
tristeza,vontade vomitar tontura falta grande vezes parece desmaiar realmente httpstcoovYPJWzi5z
raiva,fico falta odeio odeio odeio
tristeza,tanta dando falta
tristeza,Acordei falta língua dormente coisa ruim
tristeza,falta vontade vomitar
felicidade,louco demais sentir falta poucos voltando rotina
tristeza,Começou falta ar😭😭agora dormi
raiva,coração acelerado falta caralho
tristeza,acordei febre falta
tristeza,Falta pior coisa universo
raiva,Morrendo falta máscara
tristeza,falta
tristeza,aguento falta MORRER
raiva,porra odeio acordo nada falta maneU0001f92f
tristeza,Preciso médico falta foda🤦🏻u200d
raiva,falta porra
raiva,sempre hora dormir falta ódio
raiva,Tavo dormindo nada veio falta
medo,falta socorro
raiva,pouco falta ainda usar máscara manhã todannputmerd
raiva,falta caralho
tristeza,falta Deus
tristeza,preocupada falta
raiva,toda hora acordando assustada porra muita falta 🤦🏽u200d👎🏽
raiva,Todo consigo dormir causa insônia falta crlh
tristeza,falta 💔💔💔😭
raiva,vsfd falta
raiva,Juninho fica forÃando tosse bota cair germes nojento U0001f92c
raiva,momento tudo contra tosse principalmente cara tirando mÃscara farmÃciâ httpstcoCxEWXlmOGt
raiva,aguento tosse
raiva,dormi nada acordei horas manhÃ tanta tosse
tristeza,aguento tosse seca
raiva,odeio ficar tosse resfriado quebra
raiva,tosse caralho aguento
raiva,olhar cama ataque tosse
raiva,sempre dormir comeÃa tosse chatice
raiva,Tosse desgraÃada
medo,tosse insuporvel acho morrer
raiva,tosse escrota
raiva,consigo dormir tosse desgraÃada
raiva,aguento tosse
raiva,Porra aguento tosse
raiva,passando tosse inferno
medo,toda alguÃm fala pandemia nervoso falta socorro acaba pÃnico
raiva,Toda fico nervosa falta ODEIO
medo,gebte socorro puta falta conseguindo respirar direito faÃo
medo,tambem falta febre acho tudo medo real dkdmkdmnd
medo,comeÃar tomar remÃdio acabar morrendo Hoje percebi quanto desesperador sentir httpstcoiv9191LGAy
raiva,falta novo saco
raiva,Falta fudida matar homem
tristeza,AGUENTO FALTA
medo,falta deus
tristeza,falta foda
raiva,Poha sinto falta correr esquina merda deus caralho
raiva,chorei falta alergias param coÃar consigo dormir morrendo sono ANSIEDADE ODEIOOOO
raiva,Tento todos jeitos dormir fica dando teno crlh falta
surpresa,Caralho falta grande tava quase vendo
tristeza,manhÃ falta explodindo pedra cruz fala
raiva,odeio queimaÃÃo sinto perto peito deixa falta U0001f97a
tristeza,falta vomorre
medo,falta quero preocupar
tristeza,foda achar posiÃÃo dormir falta
raiva,falta
tristeza,novo falta aguento irmÃo
medo,dando falta morre
raiva,falta krlh
raiva,odeio sentir falta porraaaaaaaaa
medo,Acordar falta assustador recomendo
raiva,falta foda dormir
raiva,falta
tristeza,foda dormir falta crlh U0001f97a
surpresa,crise ansiedade merda fiquei febre
felicidade,pouco febre baixa desde cheguei Bernardo amanhÃ denovo kkkkkkk
tristeza,Acordar febre novo difÃxadcil
tristeza,Bryan tosse chata😣 Bryan tosse chata😣
surpresa,Acordei febre garganta inflamada entendi nada agora
raiva,meninas aqui casa morrendo tosse febre pegar corona outra nessa altura campeonato ficar PUTA
tristeza,dormi doente acordei imersa poÃa suornnfui medir febre tamo
medo,febre mandando real
raiva,febre gostou mimpqpx8f¼u200¸x8f
tristeza,Fico nunca febre garganta U0001f972
tristeza,ruim ficar febre fraqueza tudo
medo,corpo inteiro voltou doer agora febre espero demore passar
medo,acordou doente febrenmanonDeus pedi algo antes favor perdoe salva nessa
raiva,Noite inteirinha febre capeta ruim caramba
tristeza,febre deuss
felicidade,Primeiro vencido sucessonnEnjoo corpo febre 38nnAcordei febre pouco enjoonnvouvencer
medo,Ryan madrugada inteira Febre paaai
medo,Sinto adoecendo febre aÃxad pensando alguÃm daqui mole mercado pode covid
tristeza,passando cheio febre
raiva,Acordei febre Ãdio ontem estar planÃxadssimo tava febre Ãdio
surpresa,queimando febre nada
felicidade,colocando isolamento causa febre ontem kkkk
tristeza,Passei madrugada inteira acordada yuri febre tadinho nenÃm
tristeza,acordou febre U0001f974
raiva,preocupada felipe onde mandar mensm manhÃ dizendo febre responder Ãdio
raiva,aguento acorda febre fudida moral
surpresa,Febre abaixa jeito nenhum Deus
tristeza,Febre fraqueza dores corpo covid novo
medo,Acordei queimando febre repreendido
raiva,desgraÃa pegam doenÃa menos gravenLeve febre leve leve tossenA grave gado imbecÃxadl
medo,febre aumentando Deus
felicidade,aqui dando remÃdio Juliane febre kkkkkkkkkkkkkkkkkkk
medo,Muita falta
medo,nada pior sentir falta moral
tristeza,Desde madrugada mente inquieta falta fÃcil
medo,reportagem sobre particilas virais estarem Amostras conposiÃao httpstcoNm8E3me2yt
raiva,0510 falta febre tmnc
raiva,falta nada
raiva,Ãdeio sentir falta
medo,âacordei falta arâx9d plmdds httpstco2cqy20XakX
medo,Acordei mesma falta pÃnico instalado sobre forÃava respiraÃÃo sentia encherâ httpstcoPSkDTp7Fiq
medo,acordos falta esperanÃa crise bronquite
surpresa,Caraca Noite Foda Dormi Falta
felicidade,caras consegui dormir sentir falta enfim felicidade
tristeza,ardor acaba temho tempo sufoca deixa falta
raiva,aguento todo ficar falta inferno
raiva,falta desgraÃada
raiva,Falta caralho
raiva,falta
tristeza,Falta terrÃxadvel
tristeza,falta tomarÃ
felicidade,acordando falta arnnA vida morango kkkkkkkk
medo,comecei nova rotina romper home office sair trabalhar companheira apresentandoâ httpstcoR9QElHhqIg
medo,peguei olhando teto escuro chorando soluÃar falta
tristeza,Deus pior noite vida paro tossir muita falta
raiva,Porra falta
medo,parece morrer falta
raiva,falta caralho
tristeza,falta deus
surpresa,rapaz falta acordei
tristeza,Sabe sensaÃÃo desespero falta apetite sentindo tristeza funda vontade desistir tudo falta httpstcotXTRbkQK4k
felicidade,segundo acordando falta palpitaÃÃo OBRIGADA VIDA MENOS INSALUBRE
tristeza,Segundo sinto acelerado momentos entendendo motivo sair casaâ httpstcojoeCN5yO2G
raiva,falta merda
medo,morrendo falta jesus
felicidade,Virias maqueei senti bonita falta respirar passaram finalmente remÃdioâ httpstcoz4s0OKBtZy
medo,Ontem febre baixa voltou hoje Tosse coriza pouco estarnnDevo preocupar
tristeza,falta atenÃÃo primÃria funcione fato Deus todo classificaÃÃo lota tosse corâ httpstcoRozYEpPCIy
raiva,mano coisa falar sabe gente sofre disso aqui apaga temâ httpstcom7oLO9hEkT
tristeza,aguento tosse alergia rinite
medo,sala espera fazer exame Cada tosse alguÃm aqui arrepiozinho
felicidade,seguimores vocÃs esonnEu Ãtimo Acordei melhor tosse httpstcomLplSQjEc0
raiva,tosse caralho
tristeza,crise tosse
medo,Morrendo tosse corisa torcendo covidn
raiva,IrmÃo garganta cada tosse gosto catarro diferente
tristeza,caixÃo fechado caver respira tosse explicaÃÃo intenÃÃo cauâ httpstcoIFIU2EYI9M
raiva,Gente tosse infernos
medo,acordei tossindo hoje medo mesma pois tosse bonita
raiva,Acordei tosse maldita
raiva,desgraÃa pegam doenÃa menos gravenLeve febre leve leve tossenA grave gado imbecÃxadl
raiva,Tosse nunca Ãdio
tristeza,aguento tosse Heitor cada tosse dormindo faÃo massagem peitinho alma U0001f97aU0001f97aU0001f97a
tristeza,tosse cara
raiva,Odeio fica tosse
tristeza,Gente aguento tosse
raiva,tosse chata fude
medo,tosse cronica meses ontem fiquei doente agora tava tosse agora voltou forte SOCORRO
raiva,moss tosse inferno parece pulmÃo explodir
tristeza,saga tosse isis Jesus
tristeza,tosse respirar tontura sofrimentp
felicidade,preocupada tosse covid tosse velho KKKKKK
surpresa,descobrir hoje fuleiro mÃdico raiox pegar hoje descobrir pulmÃoâ httpstco3eosnUmhiY
tristeza,tosse passa deus
tristeza,cada tosse aperto maior senhorrrrr
raiva,Namoral muita gente irresponvel Maior tosse tuberculoso cara mÃscara
medo,madrugada comeÃou atacar crise tosse cachorro medo tossir busao povo bater x8fu200¸x8f
felicidade,melhor tosse pouca Obrigada U0001f970
tristeza,VÃrios outros Tosse seca cansaÃo infinito enxaqueca pior vida passavâ httpstcoRnzwGHG5hG
medo,Kayke crises tosse completar tiros esquisitos Jesus
medo,Agatha tosse pulo cama morro medo engasgar
raiva,Cheio Ãdio tentando dormir ontem consegui direito tosse seca comeÃou atacar aÃxad ainâ httpstcon0RFahSd5T
raiva,chega horas porra tosse ataca
raiva,tosse irritante
surpresa,consigo dormir tanta tosse brother
tristeza,cansada tosse
raiva,Porque chega madrugada tosse sempre piora levantar fazer nescauzinnn quente alivia porra
surpresa,tosse dando bichoooo NUNCA
tristeza,aguento tosse
medo,nariz entupido tosse desestabiliza durmo noite toda checando tudo
felicidade,esfria forma opÃÃµesnNariz entupido espirros rinitenDor sinusitenTohttpstcoFYEWtm9qnG
raiva,crise tosse hora puro odio
raiva,tosse seca porra Manucu
tristeza,tosse peito costas Pior consigo dormir
raiva,tosse chata
tristeza,penso melhorando tosse novoxad
raiva,hora dormir hora tosse chata ataca nunca saco
tristeza,pior gtgt sentir gosto gtgt sentir cheiro gtgt corpo gtgt falta gtgt gtgt tosse peito
raiva,quero dormir tosse deixa Ãdio
tristeza,Tosse sangue difÃxadcil
medo,suspeita covid toda hora tosse Deus
tristeza,bolao tosse
tristeza,aqui conseguir dormir causa tosse falta alguÃm fala covid parar
raiva,Ãdio tosse
raiva,tosse conseguindo dormir x8fu200‚¸x8f
raiva,tosse maldita
raiva,Tosse caralho passa nunk
felicidade,Kkkkkkkkkk sempre tomo parece ficar febre
surpresa,sentindo febre primeira loucura
raiva,acordei febre sacanagem
raiva,acordei febre crlo tambÃm nneeeeeeeeeee
tristeza,Caralho febre Arriada
tristeza,Dormi nada noite nior cheio febre fico preocupada U0001f97aU0001f97a
raiva,Hoje trabalho causa fudida febre tambÃm inflamaÃÃo garganta
tristeza,Isis queimando febre
tristeza,dormiu melhor graÃas Deus compensaÃÃo Hellena febre noite toda achando tirâ httpstcoDiRhO3uNPc
raiva,Mano vtnc poderia estar vendo aula presencial porra febre atacar Ãpoca aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
tristeza,amiga bebÃ meses hospital desde segunda febre vomitando quero pensar nada agora
tristeza,ontem tava queimando febre antes dormir hoje garganta amanheceu fudida â¨U0001f974
raiva,FRIO INSUPORx81VEL febre merda
tristeza,TrÃs dias praticamente cama passando febre pescoÃo Deus ajude
felicidade,noxadcia minoria vacinados caso sentirÃ febreou locâ httpstconcoANhWO0D
raiva,morrer tossindo tripas posxadvel terceiro seguido tosse maldita
raiva,Cheio Ãdio tentando dormir ontem consegui direito tosse seca comeÃou atacar aÃxad ainâ httpstcon0RFahSd5T
tristeza,aguento tanta tosse
tristeza,aguento tosse
raiva,chega horas porra tosse ataca
raiva,tosse irritante
surpresa,consigo dormir tanta tosse brother
tristeza,cansada tosse
raiva,Porque chega madrugada tosse sempre piora levantar fazer nescauzinnn quente alivia porra
tristeza,aguento tosse
raiva,crise tosse hora puro odio
raiva,tosse seca porra Manucu
tristeza,tosse peito costas Pior consigo dormir
raiva,tosse chata
raiva,consigo dormir tosse insuporvel nariz entupido
raiva,Tosse feiosa carai
raiva,hora dormir hora tosse chata ataca nunca saco
raiva,quero dormir tosse deixa Ãdio
raiva,Ãdio tosse
raiva,tosse maldita
raiva,Tosse caralho passa nunk
tristeza,Ardendo febre
raiva,febre indo voltando foda
tristeza,ouvido infeccionado ouvido fechado febre Ãnsia vÃmito nnblz quer matar mata deixa sofrendo aqui
medo,Murilo pelando febre aiiiixad
raiva,garganta fudida febre alta caralho sextouuu
tristeza,corta chorando tava febre longe
raiva,corpo febre crlh foda xadx8f¿u200‚¸x8f
tristeza,ardendo febre novo aguento
surpresa,CONSULTA VOLTEI DOENTE FEBRE PAIXÃO PORRA
tristeza,Laisa enjoada normal febre U0001f97aU0001f97a
tristeza,Coronga acabando comigo AlÃm sentir gosto cheiro alimentos ainda tirando apetite httpstcoo462iDu9oY
surpresa,irmÃo super quente febre enrolado cobertor super grosso calor graus
raiva,amigo diarreia febre vida covid Ãgua janeiro simplesmente MERDA NOVO
raiva,febre foda completar ouvido doendo caralho
raiva,Homi bicho frouxo demais nMeu qualquer dorzinha MORRENDO VENDO RUIM nCom httpstcou6tpTrcsiz
tristeza,pretinha febre ””x90
medo,tambem falta febre acho tudo medo real dkdmkdmnd
tristeza,Serio febre novo
felicidade,sextou vida acordou febre x8f¼
surpresa,febre fodida passando caralho credo
surpresa,febre nada doideira
surpresa,sentindo falta
raiva,fica falta antinha
tristeza,vrdd toda comeÃo pensar futuro fudido comeÃo falta fico triste
medo,toda alguÃm fala pandemia nervoso falta socorro acaba pÃnico
surpresa,agora fico triste falta nada
medo,tambem falta febre acho tudo medo real dkdmkdmnd
tristeza,falta
felicidade,Voltei casa vovÃ domingo ficar desde sentiu falta nenhuma U0001f97ax8f
medo,gebte socorro puta falta conseguindo respirar direito faÃo
medo,comeÃar tomar remÃdio acabar morrendo Hoje percebi quanto desesperador sentir httpstcoiv9191LGAy
tristeza,Nnsei pior peito falta conseguir dormir U0001f97a ansiedade realmente destrÃi
raiva,falta novo saco
raiva,Falta fudida matar homem
tristeza,aguento falta
tristeza,aguento surtar chorar tremer falta esperar ajuda divina cair
medo,falta deus
medo,Poha sinto falta correr esquina merda deus caralho
raiva,falta veio cloro desgraÃa
tristeza,indo trabalho todo palpitaÃÃo falta ansiedade httpstcozTLKckyOpI
tristeza,Nnsei pior peito falta conseguir dormir U0001f97a ansiedade realmente destrÃi
tristeza,agora fico triste falta nada
tristeza,falta
medo,Sentindo peitouma falta sinistra
medo,gebte socorro puta falta conseguindo respirar direito faÃo
medo,comeÃar tomar remÃdio acabar morrendo Hoje percebi quanto desesperador sentir httpstcoiv9191LGAy
raiva,falta novo saco
raiva,Poha sinto falta correr esquina merda deus caralho
tristeza,fase passo madrugadas falta perdida pensamentos escolhas devâ httpstcoWLzhq0S4YH
medo,nada crise ansiedade pensei morrer falta
tristeza,dormir melhor tava acordei falta triste vida asmÃtica gripa x8fu200¸x8f
raiva,chorei falta alergias param coÃar consigo dormir morrendo sono ANSIEDADE ODEIOOOO
medo,crise alÃrgica puta falta pega corona crise morro
tristeza,falta foda dormi
tristeza,manhÃ falta explodindo pedra cruz fala
medo,Acordar falta assustador recomendo
surpresa,Caralho falta grande tava quase vendo
tristeza,munta falta x8fu200¸x8f
felicidade,pulo corpo inteiro formigando morrendo falta KKKKKKKKKK cada frescura
surpresa,digo fiquei falta nnTodo mundo COMENDO DIREITO
tristeza,muita falta Nessas horas vejo quanto ruim poder socorro
raiva,odeio sentir falta porraaaaaaaaa
raiva,falta
medo,falta vomorre
raiva,falta krlh
raiva,Falta dormir foda x8fu200¸x8f
tristeza,novo falta aguento irmÃo
medo,quase surtando falta doendo peito jogando mano surta
tristeza,falta
surpresa,falta manhÃ
raiva,foda dormir falta crlh U0001f97a
medo,dando falta morre
raiva,Falar agir febre Fala
felicidade,remÃdio kkkkk remÃdios gripe febre derrubavam sdds
tristeza,aÃxad ainda dormi bebinha sono cheia febre foda
surpresa,Acordei assustada testa vendo febrenEle deve fazer semanâ httpstcoIjZmNQGFxI
felicidade,Acordei febre angustiada hoje aniverrio quero perfeito
tristeza,Acordei febre ficar longe fico rÃpido U0001f97a
tristeza,legal acordar febre
medo,Espero febre hoje porque quero voltar hospital
surpresa,acredito febre mano
raiva,gente ficar indignada preciso atendimento febre noite toda quisemos ocuparâ httpstcoT71ggDYY0i
raiva,puta febre saco
medo,queimando febre morrer
medo,Manu Dando Febre Novo u200¸x8f
surpresa,todo mundo gripado febre diabo
tristeza,febre JoÃo passa
raiva,IVERMECTINA CURA COVID PAREM MATARnontem falta tosse febre muita corpoâ httpstco9wkGxbJ78l
raiva,acordando febre garganta ruim fude
tristeza,acorda febre x8fu200‚¸x8f
tristeza,pedido hoje febre Samuel passe todinha suporto assim
medo,sentindo frio botei termÃmetro âfebreâx9d comeÃando preocupa
felicidade,coisa tambÃm febre passou tomara volte tava medo
raiva,vsfd odeio acordar febre
tristeza,cansaxadssima falta olha hora ainda dormi
surpresa,nada disparado tremendo toda morrendo falta vontade vomitar noite
tristeza,Hospital medir saturaÃÃo tudo mente falta
raiva,HOJE CRISE ANSIEDADE FUDIDA LITERALMENTE BATI PAREDE PODE LUXOâ httpstcoYwsAZeoa27
medo,desparrou tanto falta
raiva,tanta raiva passando tremedeira falta desgraÃa
raiva,Acordei olhos cheios lÃgrimas falta caralho Ãdio
raiva,comecei falta nadatmnc
raiva,Falta porra
surpresa,falta nada
raiva,falta hora vtnc
tristeza,sentir falta U0001f97a
tristeza,conseguindo dormir maneira nenhuma falta mereÃo plantei
medo,momento achei hoje morrer falta
raiva,puta pariu falta caralho
surpresa,falta normal
tristeza,quase morri falta hoje aiai covid obrigada sequelas
tristeza,queria dormir falta deixa
tristeza,chorandon falta desgraÃa deus
raiva,toda fico falta puta pariu
raiva,falta valeu Enel mimo
surpresa,Aqui lembrando surto COVID parte famÃxadlia Pernambuco chocou priâ httpstco8KZmEMH2Yq
raiva,ignorante quer faÃa segure tosse exploda
raiva,deitar comeÃa tosse maldita
raiva,Ajunta innia miserÃvel tosse durmo jeito nenhum Ãdio
medo,benalet salva garganta acaba tosse implorando POSSO ficar doente
tristeza,caralho queria tosse embora deus perturbaÃÃo
tristeza,garganta Deus doer junta tosse cachorro ninguÃm merece U0001f97aU0001f97aU0001f97aU0001f97a
surpresa,difÃxadcil povo ruim todos sintomas covid covid âuma gripe forteâx9d diarreia httpstcormoivvrn5b
felicidade,noite Bernardo quer tosse dormiu super tranquilonGraÃas Deus
tristeza,tosse atrapalhando soninho
tristeza,tosse acabando sentindo sendo afogada ventilador tava parado comeÃouâ httpstcoEheOBp7aGj
medo,tosse assustando medo piripaque
raiva,tosse caralhooo Ãdio aguento
surpresa,achando bizarrroooo monte conhecido amigas familiares ZUADOS todos sintomas covid httpstcoBEn5Ov4nE3
felicidade,prima falando coronÃria enquanto tosse kkkk
raiva,ODIO COMEÃO CRISE TOSSE NADA
raiva,tosse insuporvel difÃxadcil dormir assim
tristeza,sempre horas tosse ataca incrÃxadvel
raiva,aqui filho colo porque tosse chata deixa dormir
raiva,tosse chata
raiva,Tosse chata porra
raiva,tosse chata
raiva,tosse custa crln consigo dormir
raiva,dormi chorando acordei raiva febre raiva
tristeza,queria emocional atingisse corpo acabasse vontade comer sabe Seriaâ httpstcoxmVTElxbr8
raiva,porra braÃo dando febre
tristeza,chorando agora febre U0001f97a fazer mandei fica calma
tristeza,garganta febre sofro
raiva,porra febre
raiva,acordei bastante febre acreditando
surpresa,cheguei escola tava febre
tristeza,sair deixar bebÃ febre
tristeza,novo febre aguento insistir amanhÃ noite
tristeza,passar noite garganta febre ainda acordo consigo toma Ãgua beleza
felicidade,desse lovizinho gostoso febre embora
tristeza,nada manhÃ acordo morrendo corpo febre U0001f97a
raiva,febre caralho
raiva,fico puto termÃmetro medir febre
raiva,odeio febre intestino nenhum sintoma ficar boca fica umaâ httpstcooDr5OrgsaU
medo,pirar filho queimando febre xadxadxadxadxad
raiva,febre noite estralando acorda trampa ouvir graca cedo toma
raiva,febre filha putaaaaaaaaaaaaaaaaaa
tristeza,acordo corpo parecendo passou caminhÃo febre acompanha nBom
tristeza,Lohan meses primeira nenÃm febre cabisbaixo pedaÃos
surpresa,fiquei meses botar casa cheguei escola apontando coisa febre braco httpstcosGgIsqLoSR
tristeza,febre madrugada parar queria ficar desse jeito U0001f97a
felicidade,falando febre queimou neurÃnios errei portuguÃs hora dessas escreve certo auge sono kkkk
tristeza,dormi nada noite ardendo febre liga
raiva,saco suando devia febre
tristeza,febre vontade chorar odeio ficar doente
raiva,zuado passei folga inteira cima cama queimando febrenn comi todo tambÃmnnq Ãdio
raiva,cheio febre merda
tristeza,amiga anos VINTE SEIS Covid falta febre corpo todo U0001f97a httpstco32OD8j9RDK
tristeza,irmÃ acordou tomar remÃdio febre vomitando remÃdio
raiva,caralho mano vizinho manca TODO cedo fica corredor tosse fudida coloca mÃscarax8fu200¸x8f
tristeza,levar amor emergÃncia hoje gripado asma passou noite toda cansaÃo nariz super httpstco2tyvydB7OQ
felicidade,VocÃ tosse dopada coma hahahaha
felicidade,horas comeÃa crise tosse dentro trem kkkkk povo jaja linchar daqui kkkk
raiva,ataco tosse consegui dormir direito desgraÃa
tristeza,aguento tanta tosse falta
raiva,tosse arrombada dxou dormir noite toda
raiva,fiquei semana presencial morrendo falta binder
medo,mano difÃxadciltava falta pÃnico chorando travado tipo braÃo relaÃwoâ httpstcop5cH9E1onH
raiva,consegui comer conseguindo dormir falta crise choro outras coisasnVai ansiedade come
tristeza,ansioso Mano acordado desde manhÃ cÃrebro acho atrasadoâ httpstcoZ0YHoGzyjC
tristeza,NenÃm deixa mamÃe mimi kkkkk muita falta
tristeza,falta peito juntinho aguento
raiva,falta desgracada morre
tristeza,Acordei falta
raiva,Acordei muita falta odeio
medo,acordei falta fodida deus
tristeza,vazioaquele sentimento culpaaquela falta aperto sozinhoacho perdi caos
raiva,caralho falta
tristeza,falta acaba U0001f97a
tristeza,falta insuporvel sentindo deixou dormir hora praticamente choraâ httpstcouyjFOzLeg3
raiva,falta irrita
raiva,krlh falta acabar matando
raiva,Falta caralho
raiva,falta caramba
raiva,cozinha beber remedio quase morri odio falta
raiva,indo tentar dormir 0420 manhÃ pouco falta deixando nervoso nenÃm precisando ajuda
tristeza,consigo dormir muita falta
raiva,passando falta caralho
tristeza,aguento tanta tosse falta
raiva,dormi ainda cara parece enfiando vÃrios cacos vidro corpo falta furiosa
raiva,dormi nada puta falta
tristeza,cama consigo dormir consigo acordo assustada comigo falta U0001f97aU0001f97a
raiva,acordo humor theo acordar sendo cedo fico falta
raiva,puta falta tomara morra
raiva,falta carakho
