Data,Polaridade,Paul Ekman,Tweets Limpos
2/11/2021,negativo,neutro,tanto ódio acumulado acho queimei febre dia todo explicação estar quente daquele jeito… httpstcos59u8Ghci3
2/11/2021,neutro,neutro,vamos febre dor corpo braço inválido vacina
2/11/2021,neutro,neutro,dei 39 febre hoje tarde agora  38 💀💀 dor corpo pai vou var roupas chegaram hoje
2/11/2021,negativo,neutro,to febre novo to sentindo o desconfortável
2/11/2021,negativo,tristeza, febre q parece q vou morrer
2/11/2021,negativo,tristeza,Fazia vida q febre ruim demais
2/11/2021,neutro,neutro,Hmm febre dor cabeça 🤡
2/11/2021,neutro,medo,mainha pode sentir febre fico morta preocupação deus livre véi ter filho endoido 😥
2/11/2021,negativo,raiva,aguento febre vai volta porra U0001f92c
2/11/2021,neutro,neutro,posso ter febre q mãe faz show
2/11/2021,neutro,neutro,Oi febre pode ir embora
2/11/2021,neutro,neutro,passei tanto mal hj q dormi tarde toda c febre
2/11/2021,neutro,tristeza,Senhor sono dor febre cansaço vou caçar parada 😫
2/11/2021,neutro,neutro, febre 🤒😔
2/11/2021,neutro,tristeza, febre n demora mt p boca estoura todinha
2/11/2021,neutro,raiva, queimando febre pqp
2/11/2021,neutro,neutro,Victor tá cheio febre mimo horrores doente falto pouco colocar colo
2/11/2021,neutro,neutro,Vou dormi cheia febre
2/11/2021,negativo,raiva,imunizadah porém dor terrível braço febre ódio reação
2/11/2021,negativo,raiva,neném ta cheio febre o quietinho Vacina fdp😪
2/12/2021,negativo,neutro,menos paninho rosto tegesse vdd serve p dar alergia falta ar tontu… httpstcoJMKP2ENlcI
2/12/2021,neutro,neutro,conseguir falar algo vai ser  falta ar
2/12/2021,neutro,neutro,Fiquei falta ar
2/12/2021,neutro,tristeza,ando muita falta ar socorro😫
2/12/2021,neutro,tristeza,Cada falta ar sabe 😫
2/12/2021,neutro,neutro, dez minutos incômodo garganta peito aperto falta ar médicas aq… httpstcoFR4GTIeacp
2/12/2021,neutro,felicidade,falar tá falta ar público engraçado povo fica espantado 😂
2/12/2021,neutro,raiva,falta ar cão man
2/12/2021,neutro,tristeza,Falta ar caralho 😔
2/12/2021,neutro,raiva,falta ar caralho
2/12/2021,neutro,tristeza,falta ar crl 😩
2/12/2021,neutro,raiva,Falta ar dia inteiro hj tmnc
2/12/2021,neutro,neutro,Falta ar
2/12/2021,neutro,neutro,falta ar nunca embora
2/12/2021,neutro,neutro,Q falta ar
2/12/2021,neutro,neutro,falta ar
2/12/2021,neutro,medo, muita falta ar ultimamente q chegou hora 🙏🏻
2/12/2021,negativo,medo, preocupada cara saco tá dando falta ar
2/12/2021,negativo,medo, preocupada marido hj passou mal falta ar faz dias tá bem hj pi… httpstcoPCTI0P7tEy
2/12/2021,neutro,neutro,Tremendo falta ar 21 noite legal
2/12/2021,neutro,neutro,Tá febre saturação flutuando Tá ph viu saro pegam ano
2/12/2021,neutro,neutro,Fugiu febre amarela
2/12/2021,neutro,neutro,ano passado fiquei 10 minutos chuva outro dia dei febre dor garganta 🤡
2/12/2021,neutro,neutro,teste 100 eficiência Depedendendo marca de… httpstco7KxIBMHt1X
2/12/2021,neutro,neutro,entendo pessoal acredita tratamento precoce faz Toma Dipi… httpstco7VqCZJ3J9e
2/12/2021,neutro,neutro,Fica assim malária desapareceu Amazonas assim febre amarela ne… httpstcoMHQLYKuWus
2/12/2021,neutro,tristeza,febre Maria Júlia passa 🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d🤦🏼u200d
2/12/2021,neutro,neutro,precisa baixar febre ae em😏
2/12/2021,positivo,felicidade,Fiquei doente tava febre tosse ardência olhos melhorando
2/12/2021,neutro,neutro,febre corpo mole dor cabeça surgiu agora cara pode ter tido tudo covid
2/12/2021,neutro,neutro,Pior febre bastante cansaço Hj comecei ver rabo nascendo
2/12/2021,neutro,neutro,meudeus alimenta bem bebe agua alguém vc pedeve vc n ta febre cobre b… httpstcofFJQHevygr
2/12/2021,negativo,tristeza,394 febre quero chorarrrr 🤒🤧
2/12/2021,neutro,neutro,acaba febre pfvr
2/12/2021,neutro,neutro,acho to febre
2/12/2021,neutro,neutro,acordei agora sonhei gemeos sera febre fazendo alucinar
2/12/2021,neutro,neutro,agora febre todo dia delícia 🤡
2/12/2021,neutro,neutro,ai gnt q situação q cheguei q acho q to tendo febre pq aulas voltaram to preocupada 🗣
2/12/2021,neutro,neutro,Amanhã paolla vai acordar febre vai sobrar mim
2/12/2021,neutro,tristeza,bastasse Hellena cama agora febre passou Laura 🤦🏽u200d
2/12/2021,neutro,raiva,crlh fiquei quente sonolenta nada febre doida
2/12/2021,neutro,neutro,Dia 1638163 isolamentonPedroca começou ficar doente febre sei covid gripe saudade da… httpstcoImdmLYKA8u
2/12/2021,neutro,tristeza,nada fiquei febre 💔🤒
2/12/2021,neutro,neutro,dor cabeça enjoo otimo tomara fique febre nao quero sair amanhã
2/12/2021,neutro,tristeza,febre veio 😭
2/12/2021,neutro,neutro,mãe levou hospital pq tava febre cheguei lá febre 🤡🤡
2/12/2021,neutro,tristeza,febre vai cuidar mim
2/12/2021,neutro,neutro, queimando febre pq tomar vitamina cedo ficou presa garganta machucou todinh… httpstcok4cJOL4InQ
2/12/2021,negativo,raiva,ACREDITO Q VOU FICAR FEBRE NOVO ND BOM VAI ACONTECER
2/12/2021,neutro,tristeza,acredito  febre U0001f97aU0001f97a
2/12/2021,neutro,neutro,to febre corpo tá querendo correr pq assuntos pendentes Nilópolis amanhã
2/12/2021,negativo,tristeza,Fazia vida q febre ruim demais
2/12/2021,neutro,neutro,febre novo
2/12/2021,neutro,neutro,Fiquei febre
2/12/2021,neutro,neutro,dormir mo suave acordei c dor garganta febre rinite atacadannDELICIA
2/12/2021,neutro,neutro,garganta inflamada 38 febre quintou po
2/12/2021,neutro,tristeza,Henry resolveu ter febre 🤦🏽u200d
2/12/2021,neutro,neutro,Hoje tava febre muita tontura vou ir investigar amanhã
2/12/2021,neutro,neutro,nariz ardendo c febre oq eh
2/12/2021,neutro,neutro,efeitos vacina variam mt preparados febre dor cabeça
2/12/2021,negativo,raiva,Porra febre passa
2/12/2021,negativo,tristeza,Pr fechar dia merda  febre dor cabeça
2/12/2021,neutro,raiva,febre chata
2/12/2021,neutro,raiva,odio to febre
2/12/2021,neutro,tristeza,Queimando febre😓
2/12/2021,positivo,felicidade,febre hoje 🙌🏽 garganta segue daquele jeito
2/12/2021,neutro,felicidade,mandar msg irmã pedir umas instruções melhorar febre kkkkkk
2/12/2021,negativo,neutro, achando incrível teste covid ainda ficou amanhã consegui pegar remédios hoje febre passa
2/12/2021,neutro,tristeza, cheia febre 😔
2/12/2021,neutro,tristeza, dor cabeça febre 😞
2/12/2021,neutro,tristeza, febre 🤒😔
2/12/2021,neutro,raiva,Toda hora febre vai volta tmncU0001f92f
2/12/2021,neutro,neutro,Vei acho q  febre
2/12/2021,neutro,neutro,HahahhahanLembrou história li WhatsApp alheio ônibusnUm garoto típico nerd r… httpstco91K8a2Rb2G
2/12/2021,neutro,neutro,moro condomínio poucos aqui caminham máscara dar volta filh… httpstcoF0OQocG5ZW
2/12/2021,neutro,neutro,Pensei mesma coisa discutiria simularia tosse louca falta ar falari… httpstcoQBg1H5YiCV
2/12/2021,neutro,raiva,algum dia souber avisa vai ver bom tosse
2/12/2021,neutro,neutro,Sempre dá crise tosse” nessas horas falo nada
2/12/2021,neutro,neutro,Tira máscara tosse fala ta corona
2/12/2021,neutro,neutro,Cospe cara próxnTosse cara próxnPassa mão botões cara próxnnEle vai chamar polícia
2/12/2021,neutro,neutro,hora simular ataque tosse interminável
2/12/2021,neutro,neutro,falava Covid 19 própria segurança caso coloca ma… httpstcoPuTA6CQt4e
2/12/2021,neutro,raiva,Tosse dentro boca delenAqui resolveu algumas vezes qd comecei tossir pesado catarro e… httpstcoYOD9cqArS8
2/12/2021,neutro,neutro,cof cof camelô cg 15 contonnopa desculpa tosse
2/12/2021,negativo,raiva,vontade socar tosse perto mim máscara ENORME nRanço gente noção
2/12/2021,neutro,felicidade,garganta tá fudida tanto ri casa hoje vsf kkkkkkkk visse povo todo dia n sobre… httpstcodbbaMeuCyv
2/12/2021,neutro,neutro,tempo mudar começa tosse espirro nariz trancado ainda tempo mudar venti… httpstcoRcJbBJwaxz
2/12/2021,neutro,neutro,To tosse alérgica hr
2/12/2021,neutro,neutro,Vou dar dica chá camomila cura Covid precocemente resfriado pessoas somatiza… httpstcofUupjvdZX0
2/12/2021,neutro,neutro, alívio tosse
2/12/2021,neutro,neutro,fazer encontrar alguém máscaran1 Pede educadamente… httpstcoWwdlduK0qx
2/12/2021,neutro,neutro,Antes perguntem Covid19 Acho nPor enquanto coriza cabeça pouco pesada febre to… httpstcoEw0frzoOdC
2/12/2021,neutro,neutro,Acordei pcausa tosse D nE n consegui dormir
2/12/2021,neutro,neutro,vizinha pegou setembro ouço tosse hoje
2/12/2021,neutro,neutro,Tosse diz covid19 recentemente vai ficar quieta desespero
2/12/2021,negativo,medo,0540 n consigo dormir tanta tosse deus to matando
2/12/2021,neutro,neutro,Aiii tosse sai mim 🤧😓
2/12/2021,neutro,raiva,aj to tosse cacete
2/12/2021,negativo,neutro,Bryan tosse o chata😣
2/12/2021,negativo,raiva,Caralho to tosse satanás n jeito nenhum mal dormi nessa porra
2/12/2021,negativo,neutro,chega hora dá tosse doida hein
2/12/2021,negativo,raiva,chego casa ataca maldita tosse
2/12/2021,neutro,raiva,crise tosse agora sério
2/12/2021,negativo,tristeza,Crlhou parece q negócio arranhando gargantaranço 😭😭😭 tosse
2/12/2021,neutro,neutro,Dor gargantador ouvidodor corpotosse cachorro nCabeça explodiu nTá bom quer
2/12/2021,negativo,tristeza,Funga tosse tosse funga espirra tosse funga pq aguento
2/12/2021,neutro,neutro,tosse deixa dormir irei assistir todos garotos Agora sempre U0001f970
2/12/2021,neutro,neutro,Ligo ar tossecoceira garganta
2/12/2021,negativo,raiva,irmão fdp véi suspeita covid fica andando casa espirra tosse ódio quero pe… httpstcoYyampPbtO6
2/12/2021,neutro,neutro,irmão tá covid pouquíssimos sintomas coisarada pai contato tá tosse seca fadig… httpstcotHjLktZtiT
2/12/2021,neutro,neutro,morrendo vontade tossir vou acordar evagno tosse cachorro
2/12/2021,neutro,raiva,to conseguindo dormir causa tosse gripe pai amadoo
2/12/2021,negativo,raiva,foda dormir durmo direito tosse inferno 4 dias desse jeito aguento sinto q m… httpstco5FJBv5D4b6
2/12/2021,negativo,raiva,q tosse chata caralho
2/12/2021,negativo,neutro,merda tosse bom dia
2/12/2021,negativo,raiva,tosse crlh
2/12/2021,neutro,raiva, tosse cólica nnÔ CARALHOOOO
2/12/2021,neutro,raiva,to tosse chaaaata
2/12/2021,neutro,raiva,To tosse crl p dormi ar
2/12/2021,neutro,neutro,To tosse fudida 🤧
2/12/2021,neutro,neutro,Toda vez madrugada fico tosse U0001f9d0
2/12/2021,neutro,neutro,tosse chata viu parceiro
2/12/2021,neutro,neutro,Tosse cachorro grande kkkk voz nenhuma
2/12/2021,negativo,raiva,amiga querida Covidsem olfato paladar ctosse marido maldito negacionista… httpstcoq1Y2YAh3VF
2/12/2021,neutro,tristeza,coceira garganta danada tosse horrível 😩😩
2/12/2021,neutro,tristeza,vontade enfia tosse cu
2/13/2021,neutro,neutro,febre falta ar vai bloquinho Ehhehe
2/13/2021,negativo,neutro,VI ontem deixou insonenOmiso receitas Pacientes c Covid confirmado encaminhados p… httpstcoA2ymWbHBEo
2/13/2021,neutro,neutro,033234 préhospitalar local Estrada Geral Ferrugem Garopaba feminina maior segundo solicitante mesma r… httpstcoXJUk4nHsFd
2/13/2021,neutro,tristeza,n nd pior q ver alguém c falta ar principalmente vc ama ar o básico q sob hipotese algum… httpstcoRLE5hMkoGT
2/13/2021,neutro,neutro,odeio ficar ansiosa assintomática kkkkkk sabe vc dorme fica falta ar determinadas posições… httpstcomFMpIdJK1m
2/13/2021,neutro,neutro,dia indo 500 manhã conta ansiedade matar falta ar top
2/13/2021,negativo,tristeza,mds ter ansiedade dormir mto ruim vc deita tenta dormir foca nervoso falta ar mds triste caras
2/13/2021,neutro,neutro,crises avando tanto agora vivo sentindo falta ar
2/13/2021,neutro,tristeza,toda vez pensando q  corona falta ar ansiedade consumindo
2/13/2021,negativo,raiva,assassinos CLOROQUINA mata mata ficar esperando Vírus comunista” tomar cont… httpstcov9ib97M3HR
2/13/2021,neutro,neutro,Dr Didier nunca voltou atrás corrigiu ainda confirmou eficácia pr… httpstco012kOUQRfA
2/13/2021,neutro,neutro,nao morrer covid morre falta ar alcaloide respiratória 🙄🙄🙄🙄🙄🙄
2/13/2021,negativo,nojo,Vindo ministro matou várias pessoas Fiquem casa curem hospitais… httpstcooF2ZCZ8YQi
2/13/2021,neutro,neutro,respiração manual sinto falta ar ta automatico
2/13/2021,negativo,raiva,Alergia atacada falta ar chata pqp U0001f92fU0001f92f
2/13/2021,neutro,tristeza,Queria sim infelizmente acordei falta ar 🤦🏾u200d♂️
2/13/2021,neutro,neutro,Sim recuperando semana u fissura pulmão escarrei sangue falta ar… httpstcohvlRQEeT25
2/13/2021,positivo,neutro,acordei meio noite tremores febre senti tipo falta ar agora tomei comprimido pouco melhor
2/13/2021,neutro,neutro,crise ansiedade sei ainda  falta ar ânsia
2/13/2021,neutro,tristeza,POSIÇÃO DEITARRRRR TUDO FALTA AR 😔😭
2/13/2021,neutro,neutro,04h manhã sentindo falta ar chorar vendo filme morrer sabem
2/13/2021,neutro,raiva,acordei  cheia falta ar ódio
2/13/2021,neutro,neutro,acordei c falta ar vai elo
2/13/2021,neutro,surpresa,Acordei falta ar danada 🤦🏾u200d♂️😓😳
2/13/2021,neutro,neutro,acordei seis horas manhã pq  falta ar vê pode negócio desse
2/13/2021,neutro,neutro,ai falta ar
2/13/2021,negativo,tristeza,coisa sempre o ruim final né  falta ar jesus
2/13/2021,neutro,neutro,bom dia acordo dor insuportável peito falta ar
2/13/2021,neutro,neutro,Cheguei violada bruta lanche senti preso ferrada peito direito falta ar
2/13/2021,neutro,neutro,Depende comecei sentir falta ar passando mal
2/13/2021,negativo,tristeza,falta ar dia mata 😕
2/13/2021,negativo,raiva,falta ar crlho
2/13/2021,negativo,raiva,falta ar fudida
2/13/2021,neutro,neutro,acordei falta ar
2/13/2021,negativo,tristeza,ando o sei lá ultimamente ando passando mal fisicamente consigo dormir morrendo son… httpstcokGimYsO4MN
2/13/2021,negativo,raiva, chorando agora deus  falta ar CARALHO
2/13/2021,neutro,neutro, falta ar
2/13/2021,negativo,raiva,Falta ar caralho 😣
2/13/2021,negativo,raiva,Falta ar caralho aguento pprt
2/13/2021,negativo,raiva,Falta ar crl ainda cheiro cigarro
2/13/2021,neutro,neutro,Falta ar insônia
2/13/2021,negativo,raiva,Falta ar lixo
2/13/2021,negativo,raiva,Falta ar fudida
2/13/2021,neutro,tristeza,falta ar parou vou tentar dormir tá foda
2/13/2021,negativo,tristeza,Falta ar terrível 😟
2/13/2021,negativo,tristeza,Falta ar terrível
2/13/2021,negativo,neutro,ficar pé cansa preso cai ficar deitada posição confortável ficar sentada dói dá falta ar é… httpstcoquPrPqzviB
2/13/2021,negativo,neutro,tipo pingo faltava explodir tristeza nOi pílulas né  nta cinco morrer falta ar
2/13/2021,neutro,neutro,dormir duas sábado acordar 520 falta ar Obrigada corpo
2/13/2021,neutro,tristeza,hoje dia dormir sentada falta ar 🤦🏻u200d
2/13/2021,neutro,neutro,hora estar falta ar
2/13/2021,neutro,neutro,tá dando falta ar
2/13/2021,negativo,raiva,Lrg saporra falta ar crlh agora consigo dormir 😡
2/13/2021,neutro,neutro,n consogo fodmir to falta ar boninho faz alguma coisa
2/13/2021,negativo,raiva,consigo dormir nada falta ar caralho
2/13/2021,neutro,tristeza,oivavelmente ninguém importa to hospital sei sério sentindo falta ar e… httpstcoJGxQo9Crlt
2/13/2021,neutro,neutro,Olá mutuals madruga alguém pode ajudar Ana favor  falta ar dor fudida caixa torácic… httpstcoWs0BTtbGoA
2/13/2021,neutro,neutro,Queria entender falta ar 🤦🏽u200d
2/13/2021,neutro,neutro,sabe qnd vai chegando falta ar
2/13/2021,neutro,neutro,sentindo falta ar nao amanhanne visto n vai ter amanha mim n
2/13/2021,negativo,raiva,to ficando falta ar q odio viu
2/13/2021,negativo,raiva,to qs morrendo sufocada falta ar caralho q ódio
2/13/2021,neutro,tristeza,Tou dores cabeça falta ar consigo dormir faço😣
2/13/2021,neutro,medo,dor peito insuportável  ficando falta ar 😰
2/13/2021,negativo,tristeza,falta ar caralho queria dormindo angústia U0001f97aU0001f97a
2/13/2021,neutro,neutro,noite dormir falta ar 😪
2/13/2021,neutro,tristeza,Vou morrer falta ar né possível
2/13/2021,negativo,raiva,Caralho to tosse satanás n jeito nenhum mal dormi nessa porra
2/13/2021,neutro,neutro,chega hora dá tosse doida hein
2/13/2021,neutro,raiva,vontade enfia tosse cu
2/14/2021,negativo,raiva,DomingoEspetacular assistindo Record apoiar ria Ã absurdo  especialistas dizendo festas clan httpstcoVDITswfEpn
2/14/2021,neutro,neutro,tosse todos
2/14/2021,neutro,neutro,tosse final hsuahsuahsua
2/14/2021,negativo,nojo,fico mt irritada nojo qnd alguem tosseespirra cobrir cara agora finalmente  sinto frescaâ httpstcozPV6H53MbN
2/14/2021,neutro,neutro,ntamente fez consulta 30 minutos perguntas concernentes sintomas receitou Kit miâ httpstcoVjCcii47wI
2/14/2021,neutro,neutro, daora tosse
2/14/2021,neutro,neutro, foda tosse terÃa feira  firme nesse bloquinho fantasiado Ãrabe x8fu200‚¸x8f
2/14/2021,neutro,neutro, clÃxadnica fazendo  exames sala espera umas trÃs pessoas mÃscara baixo nariz comecei httpstcoEmMEFWQHdm
2/14/2021,neutro,tristeza, febretosse seca resfriadoninguÃm mereÃe«««
2/14/2021,neutro,neutro,Tosse diz  Ã covid Ã  tuberculose
2/14/2021,neutro,felicidade,quero coÃar garganta vai sair tosse seca  medo achar  covid kkk odio
2/14/2021,positivo,neutro,q tomar garganta melhorar Lucky faz bem tosse garganta
2/14/2021,negativo,raiva,pai tosse mÃo porra mÃscara parabÃns burrice
2/14/2021,neutro,neutro,q passei gripe  n  c tosse
2/14/2021,neutro,neutro,amigo infÃncia Batata asma gente jogava bola vezes dava crise neâ httpstcoYStH1ygnee
2/14/2021,neutro,neutro,Bom trabalho tosse tia fumadora meiaidade  brutal
2/14/2021,negativo,raiva,crianÃas chatas caralho gritando igual vagabunda outra tosse fudida q  deixando noia mâ httpstcomLv3fv7jQA
2/14/2021,neutro,neutro,analisar paciente mÃdico dizn Parece tosse es melhorn bom praticando noite inteira
2/14/2021,neutro,medo, tosse cachorro porra espero  passe
2/14/2021,neutro,neutro,mae tossenmeu padrasto tosse cÃo Ã pa quenmae Ã cobide
2/14/2021,positivo,felicidade,esposa falta ar tosse seca cansaÃo ponto atendimento minhaâ httpstcolqFAP9DH4c
2/14/2021,neutro,neutro,Passei segundo covid sintoma primeiro tosse seca Ãltimo perca olfatoâ httpstcodm1aQJ072Y
2/14/2021,neutro,neutro,garganta inflamou passava Ãgua febre ia voltava dia todo Muita dor corpâ httpstcoCRyo47M838
2/14/2021,neutro,neutro,Ah esqueci tbm to tosse
2/14/2021,neutro,neutro,tosse dor peito  corpo febre ontem Ãnsia vÃmitonpeguei nove dias atestado
2/14/2021,neutro,neutro,Perdi amigo semanaMilitar aposentado54 anosmaratonistatomando exatamente âremÃdios ââ httpstcoOPAzBMrJfS
2/14/2021,neutro,neutro,Melhoras  3 semanas tosse
2/14/2021,neutro,neutro,cuida flor quinta feira comecei tosse ontem saiu resultado covid 1
2/14/2021,neutro,neutro,Ainda tosse
2/14/2021,neutro,neutro,bem experiÃncia  trate sintomas tosse melzim febre tylenol dorâ httpstcoKyzJN3ZE34
2/14/2021,neutro,neutro,vc ta tosse eh
2/14/2021,neutro,neutro,Acho vou xima segunda amiga qje ta mae taba tosse amiganAmizade natural KSKSMKSKS
2/14/2021,neutro,neutro,2 meses seguidos tosse n4 mÃdicos n5 xaropes nAntibiÃtico nCorticoide nE  melhoro xad
2/14/2021,neutro,tristeza,covid deixou tosse cachorro cara
2/14/2021,neutro,neutro,Ã posxadvel alguem morrer tosse
2/14/2021,negativo,raiva,Ainda nota alguma tosse pouco expectoraÃÃo nesta equipanMaldito covid19
2/14/2021,neutro,neutro,apesar q real q passei gripe n  c tosse 
2/14/2021,neutro,neutro,CORONAVÃx8dRUS Ana Cristina asma crÃnica âSinto cansaÃo continuo tosseâx9d testemunho doente sobre aâ httpstcoaLOBFbCK27
2/14/2021,neutro,neutro,Detalhe relatei outros sintomas moleza generalizada dor garganta tosse seca insistente nariz entupido Aâ httpstco5LNxiV6TVZ
2/14/2021,neutro,neutro,nada tosse
2/14/2021,negativo,raiva,tosse  dando Ãdio 
2/14/2021,neutro,neutro,tosse N Ã nada nMinha mÃe pode ser tuberculose pega xarope
2/14/2021,negativo,raiva,NAO AGUENTO DOR  TOSSE CARAIO DEUS
2/14/2021,neutro,neutro,crise tosse hj avm
2/14/2021,neutro,neutro,avÃ  tosse SUPER esquisita httpstcolhJ09HHoyZ
2/14/2021,neutro,neutro,irmÃo  Covid novo antes  agora  Febre tosse  lÃ largado quartel soâ httpstcoMHuJtjggeS
2/14/2021,positivo,felicidade,tosse ta diminuindo felicidade roupa pra
2/14/2021,negativo,raiva,tosse caralho
2/14/2021,negativo,tristeza,crise tosse agora deus horror
2/14/2021,neutro,neutro,Pai amiga infÃncia faleceu hoje covid  febre tosse dificuldade respirar maior siâ httpstcoTLcqU6v3ap
2/14/2021,positivo,felicidade, esclarecer mamÃe es bem felizmente Covid19  gripezinha Es tosse mâ httpstco6Yi1jgsbP4
2/14/2021,neutro,tristeza,saÃxad casa binder passar noite passando mal tosse realmente  recomendo 
2/14/2021,negativo,raiva,sentada esperando mÃdico chamar ai sentou cara cadeira onde aviso bem grande pedindo  httpstcoURzrcB7maP
2/14/2021,neutro,neutro,So faltou tosse vocÃ tossir vez pulmÃo comeÃa coÃar vocÃ  consegue parar tossir alguÃmâ httpstcoaIWFyxx6nI
2/14/2021,neutro,neutro, dor  pulmÃo tosse seca conxadnua serasi tal corona
2/14/2021,neutro,neutro,TER comecei espirrar ter muita coriza QUA fiquei tosse garganta doÃxadda sintomas terÃa sextaâ httpstcoaFzKmzaiL4
2/14/2021,neutro,neutro,to tosse fumante voz inexistente
2/14/2021,negativo,raiva,tosse   passa saco viu
2/14/2021,neutro,felicidade,tosse terrÃxadvel kkk tia solta bebi  pouco kkkkkk
2/14/2021,negativo,tristeza,Peguei treino 2hrs fiquei merda Falta ar  pegando legal
2/14/2021,neutro,neutro,acho ontem ter acordado pouco falta ar  Ã
2/14/2021,neutro,neutro,vc acha comparaÃÃo vÃlida ninguÃm pega HIV ardepois umâ httpstcosqGSX27Ylh
2/14/2021,neutro,neutro,Errosfiquem casa a sentirem falta ar mocinho globo httpstcobdpoUusDOw
2/14/2021,neutro,neutro,Rolou falta ar bita aqui  passou ¬
2/14/2021,neutro,medo,Ter asma eh negÃcio complicado passo dia todo pensando serase q to sentindo pouco falta ar pq mexi coâ httpstcogG1B2ANIaY
2/14/2021,neutro,medo,zinho  acelerado  falta ar
2/14/2021,positivo,felicidade,NÃxadvel pcr super baixo  tava falta ar ansiedade graÃas Deus
2/14/2021,neutro,neutro,q oxÃxadmetro marque boa saturaÃÃo insista fazer TOMOGRAFIA raiox  serve Diga qâ httpstcodOxK7r1K0u
2/14/2021,neutro,neutro,falta ar
2/14/2021,neutro,medo,to falta ar tremendo pqp
2/14/2021,neutro,neutro,favor Acho falta ar tambÃm
2/14/2021,neutro,neutro,falta ar xad
2/14/2021,neutro,neutro,  aguento vomitar  falta ar tbm
2/14/2021,neutro,neutro,todos morreram falta ar
2/14/2021,neutro,neutro,qria jogar falta ar ataca hora ’
2/14/2021,neutro,neutro,212443 prÃhospitalar local Rua Buenos AÃxadres Centro Barrabonita mal bito masculino relatou estar falta ar diarrÃia
2/14/2021,neutro,neutro,morri falta ar
2/14/2021,negativo,tristeza,Ã‰ mto ruim comer falta ar pqp
2/14/2021,neutro,medo,Acho q foaqui galera falta ar monstra agora vou torcer ser  crise ansiedade
2/14/2021,neutro,neutro,qqr jeito ainda  sendo ruim pq to sentindo aperto peito falta ar
2/14/2021,negativo,raiva,falta ar ataca dnv « saco
2/14/2021,neutro,neutro,falta ar veio
2/14/2021,neutro,neutro,vamos falta ar vez
2/14/2021,negativo,neutro,falta ar dor peito ainda vai matar
2/14/2021,negativo,tristeza,febre falta ar  matando
2/14/2021,neutro,medo,fico mt preocupada pq irmÃo Ã obeso hipertenso agora es covid  lembrar fica faltaâ httpstcoFMApK8aaMQ
2/14/2021,negativo,tristeza, aguento falta ar
2/14/2021,negativo,raiva, falta ar insuporvel xadxad
2/14/2021,negativo,raiva,explodindo dor  falta ar inferno  quero morrer
2/14/2021,negativo,raiva,Falta ar carai
2/14/2021,negativo,raiva,falta ar inferno vai embora
2/14/2021,neutro,neutro,Falta ar olho escorrendo
2/14/2021,neutro,neutro,falta ar
2/14/2021,neutro,neutro,falta ar
2/14/2021,neutro,neutro,fiquei a cinco manhÃ acordada comi vez dia to falta ar parece vou cair qualquer horaâ httpstcoyPFZUi4yD3
2/14/2021,neutro,neutro,to falta ar
2/14/2021,neutro,neutro,To muita falta ar xad
2/14/2021,negativo,raiva,to puta falta ar odio parece vou morrer
2/14/2021,neutro,tristeza,tremendo chorando passando mal falta ar httpstcoihUFazyVpZ
2/14/2021,negativo,raiva,falta ar desgraÃadaaa
2/14/2021,neutro,neutro,Vitor Bueno  fez nada mal conseguiu dar entrevista falta ar
2/14/2021,neutro,surpresa,yo falta ar motivo nenhum
2/14/2021,neutro,neutro, falta ar
2/14/2021,negativo,neutro, passando Mt mal falta ar xadxadxad
2/14/2021,neutro,tristeza,falta ar Ã cara
2/14/2021,negativo,tristeza,q falta ar vou morrw
2/14/2021,neutro,neutro,negÃcio Ã  acelera falta ar seguida
2/14/2021,negativo,neutro,Peso mnh barriga  ta incomodando ainda cima falta ar crl deitar frente
2/14/2021,neutro,neutro,Indo  hospital c falta ar dor peitonnadeÃo todos saÃxadram parar todos lugares  usaramâ httpstcoWXh3POWqHG
2/14/2021,neutro,neutro,indo  upa pq mÃe  falta arx8d
2/14/2021,neutro,neutro,MÃ falta ar manÃ ”
2/14/2021,neutro,felicidade,ultima vez brinquei repetindo tweets dois dias tava 38 graus febre kkk
2/14/2021,negativo,raiva,Fico pensando vai shopping febre chatos
2/14/2021,positivo,neutro,Febre embora marra fi álcool metro U0001f92a
2/14/2021,neutro,neutro,neste caso precoce pulmão 50 commetido febre caso grave
2/14/2021,neutro,neutro,considerado febre 378 porém estado febril sim
2/14/2021,neutro,neutro,amiga febre febril preocuparia covid verdade Mozão pegou ficava… httpstcoHAEhLw0Ibp
2/14/2021,neutro,neutro,Medir temperatura pulso detecta febre foto ignorância
2/14/2021,positivo,neutro,Excelente reportagem sobre febre tratamento precoce atacou médicos privados todo Brasil sup… httpstco5mgHntzCL5
2/14/2021,neutro,neutro, mulher febre nariz entupido
2/14/2021,neutro,neutro,suor pingando corpo febre
2/14/2021,neutro,neutro,to febre n passa jeito nenhum
2/14/2021,neutro,tristeza,sim U0001f975 chega dar febre
2/14/2021,neutro,neutro,Lembro dia seguir tava bue febre calhar covid sabíamos
2/14/2021,neutro,neutro,Acho q tocom febre
2/14/2021,neutro,neutro,acho to febre novo
2/14/2021,neutro,neutro,acho  febre rs
2/14/2021,neutro,neutro,Acho vou ter febre
2/14/2021,neutro,neutro,agora noite tá dando febre
